SalesOrderID,SalesOrderDetailID,OrderQty,ProductID,UnitPrice,UnitPriceDiscount,LineTotal,rowguid,ModifiedDate
71774,110562,1,836,356.898,0,356.898,E3A1994C-7A68-4CE8-96A3-77FDD3BBD730,00:00.0
71774,110563,1,822,356.898,0,356.898,5C77F557-FDB6-43BA-90B9-9A7AEC55CA32,00:00.0
71776,110567,1,907,63.9,0,63.9,6DBFE398-D15D-425E-AA58-88178FE360E5,00:00.0
71780,110616,4,905,218.454,0,873.816,377246C9-4483-48ED-A5B9-E56F005364E0,00:00.0
71780,110617,2,983,461.694,0,923.388,43A54BCD-536D-4A1B-8E69-24D083507A14,00:00.0
71780,110618,6,988,112.998,0.4,406.7928,12706FAB-F3A2-48C6-B7C7-1CCDE4081F18,00:00.0
71780,110619,2,748,818.7,0,1637.4,B12F0D3B-5B4E-4F1F-B2F0-F7CDE99DD826,00:00.0
71780,110620,1,990,323.994,0,323.994,F117A449-039D-44B8-A4B2-B12001DACC01,00:00.0
71780,110621,1,926,149.874,0,149.874,92E5052B-72D0-4C91-9A8C-42591803667E,00:00.0
71780,110622,1,743,809.76,0,809.76,8BD33BED-C4F6-4D44-84FB-A7D04AFCD794,00:00.0
71780,110623,4,782,1376.994,0,5507.976,686999FB-42E6-4D00-9A14-83FFA86833E3,00:00.0
71780,110624,2,918,158.43,0,316.86,82940B03-C70B-4183-8660-6B3418908429,00:00.0
71780,110625,4,780,1391.994,0,5567.976,644B0CD6-B2C3-4E4D-AB43-091C2EF6C829,00:00.0
71780,110626,1,937,48.594,0,48.594,7F5FEB17-8EF4-4236-9F1C-15046D9638F0,00:00.0
71780,110627,6,867,41.994,0,251.964,AC78838D-B503-41A5-9791-480E528F028C,00:00.0
71780,110628,1,985,112.998,0.4,67.7988,2C10A282-A13D-442A-8F45-F4D6B23A7D9C,00:00.0
71780,110629,2,989,323.994,0,647.988,654FB79E-70DF-4B92-9832-9FA67013215B,00:00.0
71780,110630,3,991,323.994,0,971.982,3D6CA7AB-055E-4536-8940-76234CC9BCDE,00:00.0
71780,110631,1,992,323.994,0,323.994,560FEEE1-DD54-4C34-ABB1-4F8841D0AA41,00:00.0
71780,110632,2,993,323.994,0,647.988,19570052-4023-4658-BC56-DC5C619BD00E,00:00.0
71780,110633,2,984,112.998,0.4,135.5976,27562675-F8C3-4A38-BD9E-B366B83E5204,00:00.0
71780,110634,3,986,112.998,0.4,203.3964,E193CE39-EF33-4969-87B1-468D2F7B48AD,00:00.0
71780,110635,3,987,112.998,0.4,203.3964,E38E076F-5072-437A-A771-ADA53B5AB803,00:00.0
